video_id,Fearful,Surprised,Happy,Neutral,Disgusted,Sad,Angry
266,0,0,0,0,0,0
267,6.56,20.81,33.35,10.78,0,3.82
268,21.83,2.44,11.89,11.61,0,0.61
269,13.06,7.26,6.15,1.76,0,5.62
270,41.46,0,7.32,29.27,0,2.44
271,30.72,2.39,36.52,24.23,0,6.14
272,33.33,0,0,25.64,0,0
273,22.38,14.10,10.19,13.49,0,21.69
274,23.46,7.14,34.85,8.73,0,22.17
275,61.34,22.35,3.25,12.27,0,0.22
276,0,0,0,0,0,0
