video_id,distance,num_of_points,normalized_distance,Fearful,Surprised,Happy,Neutral,Disgusted,Sad
113,177.5,200.0,0.8875,33.94,0.06,7.44,10.11,27.44,1.33
114,94.0,166.0,0.5662650602409639,40.83,0.0,1.17,12.83,27.56,1.56
115,91.5,162.0,0.5648148148148148,39.97,0.11,4.53,8.84,23.0,1.77
116,199.0,238.0,0.8361344537815126,39.36,0.16,7.98,15.0,24.67,4.12
117,92.0,148.0,0.6216216216216216,34.78,0.0,1.86,24.59,28.37,0.96
118,44.5,42.0,1.0595238095238095,94.3,0.53,0.18,0.0,2.67,0.71
119,87.5,134.0,0.6529850746268657,99.36,0.38,0.0,0.13,0.13,0.0
120,100.5,182.0,0.5521978021978022,99.28,0.0,0.0,0.56,0.06,0.06
121,68.0,58.0,1.1724137931034482,5.16,4.93,0.0,87.01,0.0,0.0
122,75.5,68.0,1.1102941176470589,31.68,17.29,0.06,39.26,0.0,0.06
123,61.5,170.0,0.3617647058823529,4.88,16.71,0.36,77.62,0.0,0.14
124,23.5,1.0,23.5,0.0,17.14,57.14,5.71,5.71,0.0
125,26.5,17.0,1.5588235294117647,49.73,14.81,1.28,30.9,0.0,0.18
126,54.5,40.0,1.3625,0.96,0.18,85.82,5.47,0.0,4.33
127,91.5,153.0,0.5980392156862745,16.05,10.84,2.24,35.61,0.18,33.37
128,97.0,148.0,0.6554054054054054,6.8,27.63,8.78,36.41,0.11,12.12
129,70.5,136.0,0.5183823529411765,40.44,0.12,0.8,41.49,5.86,5.61
130,69.5,119.0,0.5840336134453782,68.68,0.65,5.88,18.68,0.0,5.56
131,84.5,187.0,0.4518716577540106,25.16,5.46,7.65,57.48,0.0,4.25
132,87.0,142.0,0.6126760563380281,47.09,12.65,14.01,23.24,0.0,1.27
133,104.5,155.0,0.6741935483870968,62.47,8.8,3.97,15.88,1.73,2.33
134,114.0,172.0,0.6627906976744186,69.19,1.38,7.9,5.66,0.92,5.79
135,122.5,110.0,1.1136363636363635,63.58,11.67,5.91,9.03,2.02,4.44
136,0.0,0.0,0.0,30.43,17.39,8.7,0.0,4.35,0.0
137,0.0,0.0,0.0,17.78,40.0,2.22,2.22,2.22,0.0
138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,63.0,137.0,0.4598540145985402,0.0,0.0,0.0,0.0,0.0,0.0
140,25.0,4.0,6.25,4.66,7.9,4.27,39.38,0.0,13.99
141,54.5,115.0,0.4739130434782609,1.89,0.11,2.27,77.04,0.0,11.37
142,27.0,4.0,6.75,21.79,5.13,0.0,16.67,0.0,0.0
143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,156.5,76.0,2.0592105263157894,5.18,58.4,0.28,27.99,0.0,6.5
145,98.5,78.0,1.2628205128205128,6.97,41.73,2.21,39.96,0.0,8.3
146,67.0,62.0,1.0806451612903225,14.78,55.72,0.11,26.28,0.0,3.0
147,124.0,290.0,0.42758620689655175,0.0,0.0,0.0,0.0,0.0,0.0
148,21.0,1.0,21.0,26.32,16.36,2.99,9.96,0.0,31.01
149,93.0,158.0,0.5886075949367089,21.44,0.44,10.22,6.44,0.0,61.44
150,24.5,2.0,12.25,24.28,30.64,26.94,2.54,0.0,4.28
151,0.0,0.0,0.0,57.58,6.06,33.33,0.0,0.0,3.03
152,207.0,123.0,1.6829268292682926,32.22,27.23,27.3,0.21,1.07,4.99
153,0.0,0.0,0.0,5.79,1.16,81.85,4.63,5.41,1.16
154,0.0,0.0,0.0,65.45,0.91,14.55,4.55,0.0,14.55
155,0.0,0.0,0.0,12.69,52.28,18.02,11.93,4.31,0.25
156,51.5,120.0,0.42916666666666653,57.89,1.33,0.11,35.67,0.0,2.44
157,61.0,131.0,0.4656488549618321,27.77,1.22,0.0,11.59,4.93,19.29
158,59.5,151.0,0.39403973509933776,56.56,0.0,0.0,20.06,0.0,1.0
159,131.0,135.0,0.9703703703703704,35.51,0.0,0.06,59.64,0.22,4.07
160,100.0,140.0,0.7142857142857143,8.38,3.16,10.54,66.7,0.0,11.04
161,127.0,224.0,0.5669642857142857,5.56,0.22,3.17,82.5,0.11,6.94
162,68.5,143.0,0.479020979020979,81.56,7.06,0.0,11.33,0.0,0.0
163,65.5,131.0,0.5,29.54,65.66,0.0,4.07,0.0,0.0
164,88.5,162.0,0.5462962962962963,70.44,26.56,0.39,1.72,0.0,0.0
165,31.5,21.0,1.5,8.44,63.35,0.28,23.79,0.0,0.0
